label,tweet
0,Tume kenta acha?
1, Ee maghia kuade jauchu
0,Mor sange katha laga
1, Mo banda naa 
0,Mate Badhya karani
1,ehi charbi soshaka ku dhara
1,Bangladesh re hindu manakar ra stana nahi
0,Karada Heichhe
1,Jama chodi hani
1,Maghia gandi mara
1,Jie jaha kahuchi mora dho
1,Toh gandi ku thenga re pitile kemiti lagiba
0,Ame tamku mane pakabu
0,sou aau soibaku de
1,khali ta maada abhaba 
1,aita tama dosha nuhe tama bayasa dosha
1,banda chodi ha ni
1,besi muha chaluchi tora
1,bahapia maari labha nai
1,thia thia seki debi
1,gote baah hathiya kana mulia debi
1,to muha ku nia
1,jogoni khia
1,sala harami
1,jama ranga dekha na
0,Mu bhari marmahata
0,kana kala se
1,phone re pasiki pitibi je chinichu mate kie
1,Tume jaha sabu karucha se sabu sasta ganja ra prabhaba
0,tanki kia chaula dia kire
1,gihal po
1,Sandha mala mala gaai durbala
1,Eh naali amba
0,Bhai jamei dela pura bobal
1,chodi pua
1,Rangeela toka
1,tu gote bedha chua
0,abhadra loka ta
0,Market ghanti dela pura tame au
0,Khela karucha au
1,bala katha gudaka kahuchu
1,ta maa ku nida 
1,nani kuade hata ku
1,Tu sala nimakharam
1,Tu manisa jati re kalanka
1,Tora banchiki labha nahi
0,Tu hin eka matra saha bharasa
1,Kakara hei gali
1,kn kala se
1,maar debi sala ku
1`,Pasiki maribe
1,Mu kana toh chakara
1,Bala ta kahuchu
1,Toh haliaa ki mu
0,Tame bi na dusta
0,Tu mada khaaibu
1,Tate badeibi
1,Sala godhi bhali dekha jauchu
1,Gunthuni haathi pari laguchu
1,bala na
1,Tu pagala ta kire 
1,Chintei ta tu kire
1,Ja gandi mara
1,Galu hauchi kire
1,Chodi modi haani
1,Thia goitha drrkar 
1,Chal maghhia chodi haani
1,            Kana mula zabda maribi 
1,Tu ghua khaaibu
1,  Andira toka
1,Randiapala karanii
1,chanda munda heigaluni
1,Mandu
1,chhatara toka kire
1,Toka toki rampa rampi hauchnti
1,Tu kn mundi ta kire
1,pela
1,Madhurii
1,Abe banda na
1,Bahut garam laguchi mg
0,"He bhagwaan ki katha kahucha eh sabu, Lajya Lajya!"
0,Eh toka bhut agaku jiba
1,Tu gote gaba gandu ta
1,Oukaat re asigala… bajei dianti
1,nagei dianti j sabu kahibu
0,Dhana tame padhidaucha au
0,Bhai au gote…thodi na…
1,Banda ku roast kruchu kete no bedha chua ki tame
1,Mahuli ra kamal
0,Bhagawan nku dara re
1,Bedhei maikina
1,Gobara ganesha
1,Toh bansha buniati re kie patha padhithila
1,Sabuthire chodi haba kn nihati jarruri
1,Bajat stree loka
1,Kasa dekha jauchi
1,Banda Pela
1,Boungiyaaa
1,Bhai kiya bhasa 
0,phn re pasiki pitibi je c
1,saasta ganjaa ra prabhaba
1,tanki kia chaula dia kire
0,gihal po
1,Sandha malla malla gaaii durbala
1,Eh naali ambaa
1,Bhai jamei dela pura bobal
0,chodi pua ta kire
1,Rashikia ta pura au
0,tu gote beddhha chuaa
1,abhadra manisha taa
1,Market ghanti dela toka ta au
0,full bobal
0,chodi katha gudaka kahuchu
1,ta bapa ku nida 
1,bhauni kuade hata kuu
1,Tu sala nimak haram
1,Tu manisha jattii ree kalanka
1,chodi hela bali kama kreni
1,Kuade jaihauni
0,Kuade jaucha ki
0, Boring laguchi
0,Chodi hela bhali kama karani
1,Maribu tu ete khauchu
1,Au kichi din re fatibu tu 
1,Tora sesha dina asigalani
0,Sabu bae pua chhaka re bheta
1, Mankada hata re sala grama
1,sentera banda sala
1,Chodipua baharaku ase to gandi maribi
